date,lang,label_GR,v2_NWO,subplatform,counts,platform
2013-03-14,eng,0,0,WP,5,legnews
2013-03-14,eng,1,0,WP,2,legnews
2013-03-15,eng,0,0,WP,6,legnews
2013-03-15,eng,1,0,WP,2,legnews
2013-03-16,eng,1,0,WP,1,legnews
2013-03-17,eng,0,0,WP,5,legnews
2013-03-18,eng,0,0,WP,2,legnews
2013-03-19,eng,0,0,WP,1,legnews
2013-03-20,eng,0,0,WP,1,legnews
2013-03-21,eng,0,0,WP,3,legnews
2013-03-22,eng,0,0,WP,3,legnews
2013-03-25,eng,0,0,WP,5,legnews
2013-03-26,eng,1,0,WP,1,legnews
2013-03-27,eng,0,0,WP,1,legnews
2013-03-28,eng,0,0,WP,3,legnews
2013-03-29,eng,0,0,WP,5,legnews
2013-03-30,eng,0,0,WP,1,legnews
2013-03-31,eng,0,0,WP,5,legnews
2013-03-31,eng,1,0,WP,1,legnews
2013-04-01,eng,0,0,WP,2,legnews
2013-04-01,eng,1,0,WP,1,legnews
2013-04-02,eng,0,0,WP,2,legnews
2013-04-03,eng,0,0,WP,2,legnews
2013-04-04,eng,0,0,WP,2,legnews
2013-04-04,eng,1,0,WP,1,legnews
2013-04-05,eng,0,0,WP,5,legnews
2013-04-06,eng,0,0,WP,1,legnews
2013-04-07,eng,0,0,WP,5,legnews
2013-04-08,eng,0,0,WP,1,legnews
2013-04-09,eng,0,0,WP,1,legnews
2013-04-11,eng,0,0,WP,2,legnews
2013-04-12,eng,0,0,WP,2,legnews
2013-04-13,eng,0,0,WP,1,legnews
2013-04-14,eng,0,0,WP,3,legnews
2013-04-14,eng,1,0,WP,2,legnews
2013-04-15,eng,0,0,WP,2,legnews
2013-04-16,eng,0,0,WP,2,legnews
2013-04-17,eng,0,0,WP,3,legnews
2013-04-18,eng,0,0,WP,4,legnews
2013-04-19,eng,0,0,WP,4,legnews
2013-04-20,eng,0,0,WP,2,legnews
2013-04-21,eng,0,0,WP,2,legnews
2013-04-22,eng,0,0,WP,3,legnews
2013-04-23,eng,1,0,WP,1,legnews
2013-04-24,eng,0,0,WP,2,legnews
2013-04-25,eng,0,0,WP,4,legnews
2013-04-25,eng,1,0,WP,1,legnews
2013-04-26,eng,0,0,WP,4,legnews
2013-04-27,eng,0,0,WP,1,legnews
2013-04-28,eng,0,0,WP,5,legnews
2013-04-28,eng,0,1,WP,1,legnews
2013-04-29,eng,0,0,WP,1,legnews
2013-04-29,eng,1,0,WP,1,legnews
2013-04-30,eng,0,0,WP,4,legnews
2013-04-30,eng,1,0,WP,1,legnews
2013-05-02,eng,0,0,WP,4,legnews
2013-05-03,eng,0,0,WP,4,legnews
2013-05-04,eng,0,0,WP,1,legnews
2013-05-04,eng,1,0,WP,1,legnews
2013-05-05,eng,0,0,WP,2,legnews
2013-05-05,eng,1,0,WP,1,legnews
2013-05-06,eng,0,0,WP,2,legnews
2013-05-06,eng,1,0,WP,1,legnews
2013-05-07,eng,0,0,WP,3,legnews
2013-05-07,eng,1,0,WP,1,legnews
2013-05-09,eng,0,0,WP,2,legnews
2013-05-10,eng,0,0,WP,4,legnews
2013-05-11,eng,0,0,WP,2,legnews
2013-05-12,eng,0,0,WP,4,legnews
2013-05-12,eng,1,0,WP,2,legnews
2013-05-13,eng,0,0,WP,1,legnews
2013-05-13,eng,1,0,WP,1,legnews
2013-05-14,eng,0,0,WP,2,legnews
2013-05-14,eng,1,0,WP,1,legnews
2013-05-15,eng,0,0,WP,1,legnews
2013-05-16,eng,0,0,WP,3,legnews
2013-05-17,eng,0,0,WP,6,legnews
2013-05-17,eng,1,0,WP,2,legnews
2013-05-19,eng,0,0,WP,2,legnews
2013-05-21,eng,0,0,WP,1,legnews
2013-05-22,eng,0,0,WP,1,legnews
2013-05-22,eng,1,0,WP,1,legnews
2013-05-23,eng,0,0,WP,2,legnews
2013-05-24,eng,0,0,WP,1,legnews
2013-05-26,eng,0,0,WP,3,legnews
2013-05-27,eng,0,0,WP,4,legnews
2013-05-28,eng,0,0,WP,1,legnews
2013-05-30,eng,0,0,WP,1,legnews
2013-05-31,eng,0,0,WP,2,legnews
2013-06-01,eng,0,0,WP,1,legnews
2013-06-02,eng,0,0,WP,10,legnews
